Date,Stock,Quater,"Revenue(RM,000)","Net_Profit(RM,000)",Earning_Per_Share (Cent),Dividend
30-Sep-19,SMTRACK,4th Quarter Report,424,"-1,984",-1.33,0
30-Sep-19,CETECH,2nd Quarter Report,"22,592",-199,-0.07,0.1
30-Sep-19,APFT,1st Quarter Report,0,-31,0,0
30-Sep-19,NEXGRAM,4th Quarter Report,"16,015","-22,987",-1.12,0
30-Sep-19,PRLEXUS,4th Quarter Report,"111,925","7,220",4.15,0
30-Sep-19,KOMARK,1st Quarter Report,"10,193","-2,140",-1.29,0
30-Sep-19,TRIVE,4th Quarter Report,465,"-3,140",-0.14,0
30-Sep-19,JAYCORP,4th Quarter Report,"80,539","4,669",3.46,7
30-Sep-19,CYPARK,3rd Quarter Report,"87,173","20,060",4.38,0
30-Sep-19,LBALUM,1st Quarter Report,"126,810","4,586",1.85,0
30-Sep-19,ARANK,4th Quarter Report,"120,825","3,335",1.97,2.5
30-Sep-19,MCEHLDG,4th Quarter Report,"16,618","-3,870",-8.72,0
27-Sep-19,BJMEDIA,1st Quarter Report,"4,994","-3,036",-1.29,0
27-Sep-19,GAMUDA,4th Quarter Report,"1,499,370","184,948",7.49,0
27-Sep-19,SUBUR,4th Quarter Report,"70,568","-15,651",-8.32,0
27-Sep-19,NTPM,1st Quarter Report,"184,894",503,0.04,0
27-Sep-19,HIAPTEK,4th Quarter Report,"309,875","29,564",2.21,0.5
27-Sep-19,TALAMT,2nd Quarter Report,"5,463","6,774",0.16,0
27-Sep-19,CRESNDO,2nd Quarter Report,"66,023","9,813",3.51,3
27-Sep-19,KMLOONG,2nd Quarter Report,"154,317","10,412",1.12,3
27-Sep-19,SAUDEE,4th Quarter Report,"20,002",-646,-0.48,0
27-Sep-19,ASTINO,4th Quarter Report,"152,856","5,546",2.03,0
27-Sep-19,SAPNRG,2nd Quarter Report,"1,927,400","-116,312",-0.73,0
26-Sep-19,MYNEWS,3rd Quarter Report,"131,679","7,448",1.09,0
26-Sep-19,COMCORP,2nd Quarter Report,184,"-2,069",-1.48,0
26-Sep-19,QUALITY,2nd Quarter Report,"33,129",-340,-0.59,0
26-Sep-19,HAIO,1st Quarter Report,"66,061","7,743",2.67,0
26-Sep-19,ANZO,4th Quarter Report,"1,721",-808,-0.09,0
26-Sep-19,COMFORT,2nd Quarter Report,"117,636","7,116",1.26,0
26-Sep-19,SOLID,1st Quarter Report,"65,057",975,0.25,0
26-Sep-19,SAPRES,2nd Quarter Report,"12,841","-2,872",-2.06,0
26-Sep-19,JOHAN,2nd Quarter Report,"24,013","-13,389",-2.15,0
26-Sep-19,SUPERLN,1st Quarter Report,"28,222","2,485",1.57,0.75
26-Sep-19,AEONCR,2nd Quarter Report,"404,446","49,127",16.03,22.25
26-Sep-19,VS,4th Quarter Report,"1,030,376","48,413",2.67,1.6
26-Sep-19,POHKONG,4th Quarter Report,"231,864","10,570",2.58,1.2
26-Sep-19,TOPGLOV,4th Quarter Report,"1,189,594","80,052",3.13,4
26-Sep-19,SCIENTX,4th Quarter Report,"938,765","133,402",25.89,10
25-Sep-19,YINSON,2nd Quarter Report,"213,439","41,142",3.75,4
25-Sep-19,ANALABS,1st Quarter Report,"29,909","3,323",3.05,0
25-Sep-19,HIGHTEC,3rd Quarter Report,"6,172",987,2.7,1.5
25-Sep-19,SYF,4th Quarter Report,"70,182","-30,420",-4.91,0
25-Sep-19,UMCCA,1st Quarter Report,"43,330","36,947",17.62,0
25-Sep-19,KEINHIN,1st Quarter Report,"58,834",996,0.91,0
25-Sep-19,GREENYB,Other,"6,674",-409,-0.12,0
25-Sep-19,VIS,3rd Quarter Report,"9,413",999,0.59,0
25-Sep-19,MBG,2nd Quarter Report,"11,215",74,0.12,0
25-Sep-19,XIANLNG,2nd Quarter Report,"3,294",52,0.07,0
25-Sep-19,DAIBOCI,Other,"123,275",-305,-0.09,0
24-Sep-19,SCGM,1st Quarter Report,"55,661","2,199",1.14,0.25
24-Sep-19,TECGUAN,2nd Quarter Report,"70,549","2,364",5.9,0
24-Sep-19,GKENT,2nd Quarter Report,"97,721","11,054",2.1,1.5
24-Sep-19,JKGLAND,2nd Quarter Report,"55,883","5,764",0.25,0
23-Sep-19,LKL,1st Quarter Report,"9,352",124,0.03,0
21-Sep-19,ICAP,1st Quarter Report,"4,581","2,163",1.55,0
20-Sep-19,MTAG,4th Quarter Report,"53,912","9,242",1.36,0
20-Sep-19,SCBUILD,2nd Quarter Report,455,-483,-0.05,0
20-Sep-19,MNC,1st Quarter Report,"4,812","-1,000",-0.21,0
20-Sep-19,M&G,1st Quarter Report,"53,508","-8,434",-1.17,0
20-Sep-19,POHUAT,3rd Quarter Report,"164,845","11,269",5.09,2
19-Sep-19,ECOWLD,3rd Quarter Report,"521,371","50,476",1.71,0
19-Sep-19,WONG,3rd Quarter Report,"16,266","1,075",1,0
19-Sep-19,KESM,4th Quarter Report,"70,909","2,291",5.33,6
19-Sep-19,EWINT,3rd Quarter Report,224,"57,936",2.41,0
18-Sep-19,SAPIND,2nd Quarter Report,"57,632",341,0.47,0
18-Sep-19,KYM,2nd Quarter Report,"23,619","-1,147",-0.85,0
17-Sep-19,GLOMAC,1st Quarter Report,"51,870","3,459",0.44,0
17-Sep-19,CYL,2nd Quarter Report,"11,092",3,0,0
13-Sep-19,BAUTO,1st Quarter Report,"535,044","50,515",4.35,3.25
12-Sep-19,ASTRO,2nd Quarter Report,"1,236,382","169,336",3.24,2
11-Sep-19,MAGNI,1st Quarter Report,"327,329","30,507",18.76,7
10-Sep-19,INNO,4th Quarter Report,"33,004","1,977",0.41,0
10-Sep-19,INNO,1st Quarter Report,"28,399","1,639",0.34,1
5-Sep-19,PWORTH,4th Quarter Report,"14,445","-90,405",-2.21,0
4-Sep-19,CARIMIN,4th Quarter Report,"167,979","9,706",4.15,1.6
3-Sep-19,UWC,4th Quarter Report,"46,908","10,074",2.75,0
30-Aug-19,MMIS,2nd Quarter Report,"5,756",862,34.95,0
30-Aug-19,SINOTOP,4th Quarter Report,"9,052","-74,820",-18.95,0
30-Aug-19,GETS,4th Quarter Report,"13,243","-3,904",-3.1,0
30-Aug-19,PRKCORP,2nd Quarter Report,"39,479","-21,913",-21.91,0
30-Aug-19,LONBISC,3rd Quarter Report,"54,462","-19,709",-6.78,0
30-Aug-19,PASDEC,2nd Quarter Report,"29,269","-2,576",-0.65,0
30-Aug-19,KHEESAN,2nd Quarter Report,"23,157",-561,-0.54,0.01
30-Aug-19,PERMAJU,Other,"16,446","-3,364",-1.8,0
30-Aug-19,MSPORTS,Other,0,-316,-0.05,0
30-Aug-19,KPOWER,4th Quarter Report,"11,970","2,302",3.02,0
30-Aug-19,MUIIND,4th Quarter Report,"88,302","-84,403",-2.88,0
30-Aug-19,HTPADU,2nd Quarter Report,"69,529","2,053",2.03,0
30-Aug-19,TITIJYA,4th Quarter Report,"44,047","2,037",0.15,0.15
30-Aug-19,VSOLAR,4th Quarter Report,"1,705",-358,-0.09,0
30-Aug-19,MCT,2nd Quarter Report,"107,165","2,760",0.19,0
30-Aug-19,LBS,2nd Quarter Report,"319,378","14,023",0.9,0
30-Aug-19,ICON,2nd Quarter Report,"50,144","-3,804",0.32,0
30-Aug-19,XOX,Other,"74,097",682,0.06,0
30-Aug-19,SUCCESS,4th Quarter Report,"69,052","2,846",1.21,0
30-Aug-19,BLDPLNT,1st Quarter Report,"338,812","-17,580",-18.8,0
30-Aug-19,IRETEX,Other,"2,836","11,862",6.42,0
30-Aug-19,SIGN,4th Quarter Report,"43,807",82,0,0
30-Aug-19,SRIDGE,4th Quarter Report,"2,926","-1,736",-1.24,0
30-Aug-19,PRIVA,2nd Quarter Report,"8,810,315","-1,620,906",-0.29,0
30-Aug-19,DGSB,Other,"26,651","2,588",0.35,0
30-Aug-19,PMHLDG,4th Quarter Report,"1,800",-650,-0.07,0
30-Aug-19,RGB,2nd Quarter Report,"55,163","7,154",0.46,0
30-Aug-19,WASEONG,2nd Quarter Report,"757,419","19,242",2.5,0
30-Aug-19,FOCUS,2nd Quarter Report,"9,308",678,0.03,0
30-Aug-19,PWF,2nd Quarter Report,"80,868",600,0.34,1
30-Aug-19,OKA,1st Quarter Report,"30,398","3,392",1.38,0
30-Aug-19,NGGB,Other,"9,981","-3,023",-0.63,0
30-Aug-19,BPURI,Other,"170,045",324,0.08,0
30-Aug-19,IKHMAS,2nd Quarter Report,"16,722","-63,837",-11.71,0
30-Aug-19,CAELY,1st Quarter Report,"18,032",158,0.1,0
30-Aug-19,ASDION,Other,"3,290",-770,-0.6,0
30-Aug-19,CHHB,2nd Quarter Report,"19,686","-5,382",-1.97,0
30-Aug-19,DEGEM,2nd Quarter Report,"34,492","2,750",2.1,0
30-Aug-19,VERSATL,1st Quarter Report,"13,782",6,0,0
30-Aug-19,PAM-C50,4th Quarter Report,"1,111",0,0.14,0
30-Aug-19,XINGHE,2nd Quarter Report,"172,270","-2,520",-0.1,0
30-Aug-19,FINTEC,1st Quarter Report,"9,689","24,471",4,0
30-Aug-19,BERTAM,2nd Quarter Report,"2,048",-258,-0.12,0
30-Aug-19,BIOHLDG,2nd Quarter Report,"14,033","2,034",0.24,0
30-Aug-19,EMETALL,2nd Quarter Report,"37,213","1,217",0.66,0
30-Aug-19,DOLPHIN,2nd Quarter Report,"1,195","-1,587",-0.65,0
30-Aug-19,MALTON,4th Quarter Report,"392,877","13,852",2.62,0
30-Aug-19,ORION,4th Quarter Report,212,"-2,126",-0.32,0
30-Aug-19,MSNIAGA,2nd Quarter Report,"31,099","-5,320",-8.81,0
30-Aug-19,RESINTC,1st Quarter Report,"21,397",865,0.63,0
30-Aug-19,ARREIT,2nd Quarter Report,"24,147",0,1.55,1.5
30-Aug-19,ALSREIT,2nd Quarter Report,"23,930",0,1.44,1.18
30-Aug-19,ALAQAR,2nd Quarter Report,"26,267","15,222",2.07,1.91
30-Aug-19,ZECON,4th Quarter Report,"79,856","-10,978",-8.38,0
30-Aug-19,IVORY,1st Quarter Report,"23,490","-4,498",-0.92,0
30-Aug-19,KAMDAR,1st Quarter Report,"34,887","1,116",0.56,0
30-Aug-19,PLABS,2nd Quarter Report,"24,408",839,0.39,0
30-Aug-19,TOYOINK,1st Quarter Report,"20,776","2,090",1.95,0
30-Aug-19,MTOUCHE,4th Quarter Report,"16,986","3,694",0.73,0
30-Aug-19,MUH,4th Quarter Report,"3,262","1,116",1.98,0
30-Aug-19,SCOMIES,Other,"119,908","-60,376",-2.58,0
30-Aug-19,TAWIN,Other,"104,150","8,195",10.29,0
30-Aug-19,EATECH,2nd Quarter Report,"66,320","8,307",1.65,0
30-Aug-19,GOCEAN,1st Quarter Report,"56,502","-1,329",-0.46,0
30-Aug-19,MLAB,Other,"3,158",-332,-0.05,0
30-Aug-19,MIKROMB,4th Quarter Report,"7,768",857,0.19,0
30-Aug-19,COASTAL,4th Quarter Report,"44,574","-12,440",-2.36,0
30-Aug-19,SCOMI,Other,"119,908","-250,497",-22.9,0
30-Aug-19,SEACERA,Other,952,"-36,902",-7.78,0
30-Aug-19,LEWEKO,4th Quarter Report,"11,349","-5,915",-1.84,0
30-Aug-19,NETX,4th Quarter Report,242,"-7,603",-0.27,0
30-Aug-19,DIGISTA,3rd Quarter Report,"10,610","-1,796",-0.27,0
30-Aug-19,MBSB,2nd Quarter Report,"817,660","106,225",1.66,0
30-Aug-19,OVERSEA,1st Quarter Report,"11,057","-1,129",-0.47,0
30-Aug-19,MYSCM,1st Quarter Report,"2,021",412,0.16,0
30-Aug-19,ACME,1st Quarter Report,"5,593",82,0.04,0
30-Aug-19,SCOPE,4th Quarter Report,"3,540","-1,569",-0.27,0
30-Aug-19,AZRB,2nd Quarter Report,"243,307","4,652",0.78,0
30-Aug-19,PAM-A40M,4th Quarter Report,501,0,0.18,0.07
30-Aug-19,DKSH,2nd Quarter Report,"1,573,529","11,644",7.39,10
30-Aug-19,DPHARMA,2nd Quarter Report,"145,466","13,916",2.07,1
30-Aug-19,YNHPROP,2nd Quarter Report,"70,279","5,522",1.04,0
30-Aug-19,GOODWAY,4th Quarter Report,"11,167","-16,984",-13.97,0
30-Aug-19,IHH,2nd Quarter Report,"3,645,335","184,994",1.86,0
30-Aug-19,KGROUP,1st Quarter Report,"6,598","-3,498",-0.67,0
30-Aug-19,SEB,4th Quarter Report,"13,056","-2,318",-2.91,0
30-Aug-19,HLT,2nd Quarter Report,"44,417","2,930",0.57,0
30-Aug-19,DOLMITE,4th Quarter Report,"-27,331","-22,357",-7.85,0
30-Aug-19,CAB,3rd Quarter Report,"421,711","-3,884",-0.59,0
30-Aug-19,PCCS,1st Quarter Report,"116,895","1,114",0.53,0
30-Aug-19,EKOVEST,4th Quarter Report,"338,499","23,298",0.88,1
30-Aug-19,IPMUDA,4th Quarter Report,"34,371","-32,472",-0.46,0
30-Aug-19,ASIAFLE,1st Quarter Report,"77,599","9,728",4.99,0
30-Aug-19,WIDETEC,1st Quarter Report,"2,243",414,0.93,0
30-Aug-19,KENANGA,2nd Quarter Report,"169,052","5,601",0.8,0
30-Aug-19,GLOTEC,4th Quarter Report,"48,525","-26,135",-9.71,0
30-Aug-19,LATITUD,4th Quarter Report,"158,855","-8,661",-8.93,3
30-Aug-19,SNC,2nd Quarter Report,"3,918",-152,-0.23,0
30-Aug-19,MERIDIAN,2nd Quarter Report,665,-380,-0.08,0
30-Aug-19,SCNWOLF,4th Quarter Report,"15,822",-203,-0.21,0
30-Aug-19,DESTINI,2nd Quarter Report,"45,070",491,0.04,0
30-Aug-19,EKA,2nd Quarter Report,"6,525",-673,-0.22,0
30-Aug-19,ROHAS,2nd Quarter Report,"127,019","11,212",2.37,0
30-Aug-19,MENANG,4th Quarter Report,"10,475","6,606",0.45,0
30-Aug-19,MAHSING,2nd Quarter Report,"481,246","50,319",0.96,0
30-Aug-19,BTM,2nd Quarter Report,"2,137","-1,634",-1.16,0
30-Aug-19,KWANTAS,4th Quarter Report,"203,019","-49,842",-15.99,0
30-Aug-19,KPSCB,2nd Quarter Report,"228,784",910,0.62,0
30-Aug-19,BIG,4th Quarter Report,"9,945","-1,689",-3.51,0
30-Aug-19,SYSCORP,4th Quarter Report,"164,045","-68,754",-5.87,0
30-Aug-19,EAH,1st Quarter Report,"8,486",454,0.01,0
30-Aug-19,KTC,4th Quarter Report,"165,537","3,382",0.66,0
30-Aug-19,VIVOCOM,2nd Quarter Report,"12,357",-703,-0.01,0
30-Aug-19,PSIPTEK,4th Quarter Report,"74,750","2,256",0.64,0
30-Aug-19,HOOVER,4th Quarter Report,"14,301","-1,388",-3.47,0
30-Aug-19,MASTEEL,2nd Quarter Report,"294,675","-10,392",-2.44,0
30-Aug-19,ENEST,1st Quarter Report,"20,937","1,674",0.36,0
30-Aug-19,IDEAL,2nd Quarter Report,"146,907","18,390",3.97,1
30-Aug-19,SIMEPLT,2nd Quarter Report,"2,875,000","27,000",0.4,0
30-Aug-19,EG,4th Quarter Report,"280,554","1,501",0.57,0
30-Aug-19,PRESBHD,Other,"121,982","-17,439",-3.6,0
30-Aug-19,BRAHIMS,2nd Quarter Report,"74,045","-1,190",-0.44,0
30-Aug-19,AIRPORT,2nd Quarter Report,"1,261,200","160,078",8.78,0
30-Aug-19,DSONIC,1st Quarter Report,"58,316","14,009",1.04,0.75
30-Aug-19,ALAM,2nd Quarter Report,"66,397","-4,279",-0.5,0
30-Aug-19,MTDACPI,1st Quarter Report,"65,345","-2,146",-0.93,0
30-Aug-19,MINHO,2nd Quarter Report,"61,620",800,0.23,0
30-Aug-19,BAHVEST,1st Quarter Report,"31,044","8,248",0.67,0
30-Aug-19,VELESTO,2nd Quarter Report,"157,052","11,913",0.15,0
30-Aug-19,KPJ,2nd Quarter Report,"847,311","41,828",1,0.5
30-Aug-19,SUPERMX,4th Quarter Report,"375,964","15,059",1.15,0
30-Aug-19,TENAGA,2nd Quarter Report,"12,876,000","1,116,200",19.63,30
30-Aug-19,ARMADA,2nd Quarter Report,"535,641","78,208",1.33,0
29-Aug-19,MMAG,1st Quarter Report,"34,386","-5,924",-0.87,0
29-Aug-19,BREM,1st Quarter Report,"42,740","8,603",2.5,0.02
29-Aug-19,PENERGY,2nd Quarter Report,"137,656","14,115",4.4,2
29-Aug-19,REVENUE,4th Quarter Report,"15,419","1,848",0.81,0
29-Aug-19,PMCORP,4th Quarter Report,"11,049","-10,076",-1.42,0
29-Aug-19,GENTING,2nd Quarter Report,"5,445,725","599,679",15.57,6.5
29-Aug-19,PELIKAN,2nd Quarter Report,"316,489","18,321",3.34,0
29-Aug-19,MUHIBAH,2nd Quarter Report,"568,872","30,861",6.4,0
29-Aug-19,KINSTEL,4th Quarter Report,"24,639","-125,185",-12.02,0
29-Aug-19,PPG,3rd Quarter Report,"14,902","-1,341",-1.39,0
29-Aug-19,IOIPG,4th Quarter Report,"497,791","139,768",2.54,3
29-Aug-19,MYEG,3rd Quarter Report,"119,133","58,199",1.7,0
29-Aug-19,HAPSENG,2nd Quarter Report,"1,745,803","129,789",5.21,0
29-Aug-19,CONNECT,2nd Quarter Report,"12,149","-2,827",-0.86,0
29-Aug-19,OSK,2nd Quarter Report,"336,402","82,905",3.99,2
29-Aug-19,VERTICE,1st Quarter Report,"11,639","-3,198",-1.69,0
29-Aug-19,SEEHUP,1st Quarter Report,"22,849","-1,041",-1.29,0
29-Aug-19,JCBNEXT,2nd Quarter Report,"3,330","4,373",3.19,0
29-Aug-19,MUIPROP,4th Quarter Report,"14,103","10,404",1.4,0
29-Aug-19,GENM,2nd Quarter Report,"2,601,502","416,482",7.37,6
29-Aug-19,MESB,Other,"60,837","4,548",5.55,0
29-Aug-19,TANCO,4th Quarter Report,"2,485","-2,631",-0.38,0
29-Aug-19,CANONE,2nd Quarter Report,"832,001","29,090",15.14,0
29-Aug-19,ECM,2nd Quarter Report,"5,779","-1,175",-0.24,0
29-Aug-19,PPB,2nd Quarter Report,"1,152,835","159,976",11.25,8
29-Aug-19,MULPHA,2nd Quarter Report,"173,683","-166,344",-52.07,0
29-Aug-19,CYMAO,2nd Quarter Report,"11,835","3,813",5.2,0
29-Aug-19,KIMLUN,2nd Quarter Report,"325,166","13,449",4.05,0
29-Aug-19,HLIND,4th Quarter Report,"681,095","79,904",25.45,0
29-Aug-19,SKPRES,1st Quarter Report,"362,545","18,485",1.48,0
29-Aug-19,YTL,4th Quarter Report,"5,039,177","2,441",0.02,0.04
29-Aug-19,HBGLOB,2nd Quarter Report,"22,092",911,0.19,0
29-Aug-19,MESTRON,2nd Quarter Report,"18,358","-2,551",-0.44,0
29-Aug-19,CRG,2nd Quarter Report,"64,799","3,442",0.43,0
29-Aug-19,PINEPAC,4th Quarter Report,"2,693","-7,212",-4.81,0
29-Aug-19,CUSCAPI,2nd Quarter Report,"6,512","-2,106",-0.25,0
29-Aug-19,MCEMENT,2nd Quarter Report,"471,491","-63,279",-7.5,0
29-Aug-19,GHLSYS,2nd Quarter Report,"85,895","7,166",0.97,0
29-Aug-19,PTB,2nd Quarter Report,"20,169",-783,-0.42,0
29-Aug-19,HENGYUAN,2nd Quarter Report,"3,306,340","3,276",1.09,0
29-Aug-19,KPS,2nd Quarter Report,"159,163","2,932",0.5,36.85
29-Aug-19,LIONIND,4th Quarter Report,"745,983","-67,822",-9.96,0
29-Aug-19,YTLPOWR,4th Quarter Report,"3,058,719","150,155",1.96,5
29-Aug-19,PUNCAK,2nd Quarter Report,"110,415","-15,667",-3.5,0
29-Aug-19,OWG,4th Quarter Report,"28,196","-9,318",-3.41,0
29-Aug-19,JOHOTIN,2nd Quarter Report,"141,559","9,757",3.14,1.5
29-Aug-19,SMILE,1st Quarter Report,"13,489","1,520",0.16,0.12
29-Aug-19,FBBHD,1st Quarter Report,"25,043","1,001",0.46,0
29-Aug-19,MEGASUN,2nd Quarter Report,"1,436",51,0.02,0
29-Aug-19,MUDAJYA,2nd Quarter Report,"86,054","-31,585",-5.35,0
29-Aug-19,PTARAS,4th Quarter Report,"90,911","16,220",9.7,12
29-Aug-19,CME,4th Quarter Report,"24,442","-19,727",-3.38,0
29-Aug-19,APEX,2nd Quarter Report,"8,220","1,956",0.97,0
29-Aug-19,PLS,1st Quarter Report,"17,715","-2,379",-0.68,0
29-Aug-19,MELEWAR,4th Quarter Report,"152,094","46,201",12.85,0
29-Aug-19,LAMBO,2nd Quarter Report,"29,539","4,408",0.21,0
29-Aug-19,LHI,2nd Quarter Report,"1,477,207","16,087",0.46,1.6
29-Aug-19,YTLLAND,4th Quarter Report,"286,213","-119,319",-7.46,0
29-Aug-19,COMPUGT,2nd Quarter Report,509,"-1,746",-0.07,0
29-Aug-19,TADMAX,2nd Quarter Report,"70,623","6,139",0.78,0
29-Aug-19,MAA,2nd Quarter Report,"47,913","-8,226",-3.01,0
29-Aug-19,SEAL,4th Quarter Report,"23,879","4,462",8.35,0
29-Aug-19,FAJAR,4th Quarter Report,"95,330","14,129",3.79,0
29-Aug-19,OPCOM,1st Quarter Report,"11,862",-891,-0.55,0
29-Aug-19,BONIA,4th Quarter Report,"113,865","8,473",1.05,0.5
29-Aug-19,P&O,3rd Quarter Report,"78,391","-2,801",-1.03,1.25
29-Aug-19,MTRONIC,4th Quarter Report,"11,379","-9,394",-1.13,0
29-Aug-19,ADVENTA,2nd Quarter Report,"9,249",-384,-0.25,0
29-Aug-19,DPS,1st Quarter Report,"5,537",-897,-0.15,0
29-Aug-19,ATTA,1st Quarter Report,"22,312",76,0.04,0
29-Aug-19,SCOMNET,2nd Quarter Report,"30,573","5,327",0.83,1.5
29-Aug-19,KNM,2nd Quarter Report,"375,029","7,504",0.31,0
29-Aug-19,FCW,4th Quarter Report,"8,279","4,138",1.66,0
29-Aug-19,AMVERTON,2nd Quarter Report,"20,638","1,737",0.48,0
29-Aug-19,SYCAL,2nd Quarter Report,"9,618",138,0.03,0
29-Aug-19,MITRA,2nd Quarter Report,"145,353","-14,545",-1.63,0
29-Aug-19,CIHLDG,4th Quarter Report,"432,812","3,152",1.95,8
29-Aug-19,BORNOIL,4th Quarter Report,"25,903","-6,648",-0.13,0
29-Aug-19,MENTIGA,2nd Quarter Report,"1,062","-1,657",-2.37,0
29-Aug-19,MACPIE,4th Quarter Report,"9,589","-4,914",-1.39,0
29-Aug-19,PNEPCB,1st Quarter Report,"18,081","-2,697",-2.05,0
29-Aug-19,EPMB,2nd Quarter Report,"108,607","-7,757",-4.89,0
29-Aug-19,CENSOF,1st Quarter Report,"13,197","1,797",0.36,0
29-Aug-19,SAM,1st Quarter Report,"195,165","18,207",13.47,0
29-Aug-19,LFECORP,2nd Quarter Report,"4,315",-929,-0.47,0
29-Aug-19,KSENG,2nd Quarter Report,"250,202","39,073",10.87,4
29-Aug-19,BDB,2nd Quarter Report,"47,256","-4,863",-1.6,0
29-Aug-19,REDIDEA,1st Quarter Report,"1,416",-805,-0.8,0
29-Aug-19,TPC,2nd Quarter Report,"53,520","-1,638",-0.7,0
29-Aug-19,INNO,2nd Quarter Report,"23,887","-2,219",-0.46,0
29-Aug-19,KRETAM,2nd Quarter Report,"86,387","-10,654",-0.46,0
29-Aug-19,HIL,2nd Quarter Report,"35,926","4,655",1.4,0
29-Aug-19,JMEDU,1st Quarter Report,"4,414",429,0.6,0
29-Aug-19,EVERGRN,2nd Quarter Report,"231,928","-10,364",-1.23,0
29-Aug-19,YILAI,2nd Quarter Report,"27,727","-3,174",-2.18,0
29-Aug-19,MQTECH,2nd Quarter Report,"2,259","-2,313",-0.35,0
29-Aug-19,THHEAVY,2nd Quarter Report,"11,937","4,614",0.41,0
29-Aug-19,KUB,2nd Quarter Report,"101,216","-9,609",-1.73,0
29-Aug-19,YSPSAH,2nd Quarter Report,"69,597","6,357",4.57,8.5
29-Aug-19,CHUAN,2nd Quarter Report,"183,623",-23,-0.01,0
29-Aug-19,NAIM,2nd Quarter Report,"159,183","10,177",2.03,0
29-Aug-19,HUBLINE,3rd Quarter Report,"31,787",-397,-0.01,0
29-Aug-19,AT,1st Quarter Report,"3,619","-2,057",-0.44,0
29-Aug-19,CIMB,2nd Quarter Report,"4,468,851","1,508,625",15.6,14
29-Aug-19,YBS,1st Quarter Report,"17,423",327,0.14,0
29-Aug-19,MPCORP,4th Quarter Report,"3,541","-69,080",-24.01,0
29-Aug-19,THPLANT,2nd Quarter Report,"106,113","-19,150",-2.17,0
29-Aug-19,PERISAI,4th Quarter Report,"19,873","-158,817",-12.6,0
29-Aug-19,GOB,1st Quarter Report,"40,556","2,190",0.48,0
29-Aug-19,APB,3rd Quarter Report,"14,752",-873,-0.79,0
29-Aug-19,SEERS,1st Quarter Report,"2,433","-1,121",-0.58,0
29-Aug-19,IBHD,2nd Quarter Report,"42,207","10,825",1.02,0
29-Aug-19,MAYBANK,2nd Quarter Report,"13,054,013","1,940,871",17.46,25
29-Aug-19,FIHB,4th Quarter Report,"58,823","2,465",2.33,0
29-Aug-19,SKBSHUT,4th Quarter Report,"16,203","1,319",3.3,0
29-Aug-19,MATRIX,1st Quarter Report,"248,503","54,548",7.09,3
29-Aug-19,AXIATA,2nd Quarter Report,"6,153,614","204,094",2.2,5
28-Aug-19,HANDAL,Other,"16,482","-14,675",-7.68,0
28-Aug-19,UNIWALL,1st Quarter Report,"19,377","5,384",1.5,0.28
28-Aug-19,BINACOM,4th Quarter Report,"12,545",-521,-0.2,0
28-Aug-19,REV,2nd Quarter Report,0,-280,-0.21,0
28-Aug-19,DUTALND,4th Quarter Report,"9,836","5,976",0.71,0.05
28-Aug-19,LITRAK,1st Quarter Report,"128,840","67,768",12.83,10
28-Aug-19,NSOP,2nd Quarter Report,"11,883",-104,-0.15,0
28-Aug-19,TGUAN,2nd Quarter Report,"229,711","13,774",9.15,0
28-Aug-19,ETH,1st Quarter Report,"2,501",-380,-0.16,0
28-Aug-19,INSAS,4th Quarter Report,"78,221","17,948",2.71,0
28-Aug-19,DAYA,2nd Quarter Report,"49,339","-12,038",-0.59,0
28-Aug-19,BJCORP,Other,"1,419,353","-110,405",-1.85,0
28-Aug-19,SNTORIA,3rd Quarter Report,"68,575","4,386",0.79,0
28-Aug-19,ORIENT,2nd Quarter Report,"1,408,104","77,311",12.46,12
28-Aug-19,NOVAMSC,1st Quarter Report,"12,987",836,0.11,0
28-Aug-19,PARKSON,4th Quarter Report,"953,540","-45,552",-4.27,0
28-Aug-19,PEB,2nd Quarter Report,0,-405,-0.59,0
28-Aug-19,ADVPKG,2nd Quarter Report,"5,586",103,0.54,2
28-Aug-19,OFI,1st Quarter Report,"63,447","1,963",0.82,0.3
28-Aug-19,RGTECH,2nd Quarter Report,"16,251","1,238",0.24,0
28-Aug-19,UZMA,4th Quarter Report,"138,909","11,804",3.69,0
28-Aug-19,BARAKAH,Other,"61,853","-269,358",-32.43,0
28-Aug-19,SLIC,1st Quarter Report,"14,031","1,088",0.86,1
28-Aug-19,SUNSURIA,3rd Quarter Report,"97,489","13,492",1.52,0
28-Aug-19,INARI,4th Quarter Report,"270,670","38,294",1.19,1.1
28-Aug-19,SCIB,2nd Quarter Report,"17,864",-111,-0.13,0
28-Aug-19,ABFMY1,Other,"77,703",0,6.05,2.33
28-Aug-19,GLBHD,4th Quarter Report,"3,997","-8,426",-3.77,0
28-Aug-19,GENP,2nd Quarter Report,"525,744","20,744",2.55,3.5
28-Aug-19,AIRASIA,2nd Quarter Report,"3,140,345","17,940",0.5,0
28-Aug-19,ALCOM,2nd Quarter Report,"90,313","1,047",0.78,0
28-Aug-19,COMPLET,1st Quarter Report,"28,203","1,631",1.3,0
28-Aug-19,EURO,2nd Quarter Report,"16,895","-1,821",-0.68,0
28-Aug-19,FBMKLCI-EA,Other,16,0,-0.25,0.5
28-Aug-19,REXIT,4th Quarter Report,"5,934","2,318",1.31,0
